City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Barrow,1,US,1587271816,71,71.29,-156.79,6.8,8.05
Verkhneural'sk,20,RU,1587272322,46,53.88,59.21,41.0,8.95
Itapirapuã,86,BR,1587272324,85,-15.82,-50.61,69.3,3.29
Schleiden,32,DE,1587272325,100,50.53,6.48,46.4,2.24
Rimouski,5,CA,1587272326,40,48.45,-68.52,33.8,17.22
Torbay,75,CA,1587271736,79,47.67,-52.73,28.99,10.29
Pilot Butte,20,CA,1587272183,73,50.47,-104.42,23.0,3.36
Cherskiy,7,RU,1587271911,93,68.75,161.3,8.28,13.47
Te Anau,46,NZ,1587272332,68,-45.42,167.72,45.55,9.04
Ponta do Sol,8,PT,1587272038,62,32.67,-17.1,57.0,5.55
Ølgod,0,DK,1587272334,80,55.81,8.63,36.0,8.05
Ushuaia,40,AR,1587271774,70,-54.8,-68.3,46.4,1.61
Klaksvík,0,FO,1587272157,87,62.23,-6.59,42.8,11.41
Albany,0,US,1587272055,84,42.6,-73.97,39.0,5.35
Busselton,25,AU,1587271820,49,-33.65,115.33,68.0,17.52
Mar del Plata,79,AR,1587271827,82,-38.0,-57.56,62.01,11.41
Punta Arenas,75,CL,1587271975,75,-53.15,-70.92,42.8,10.29
Qaanaaq,100,GL,1587271842,84,77.48,-69.36,14.74,18.52
Panama City,66,PA,1587272087,73,8.99,-79.52,79.0,1.01
Cape Town,75,ZA,1587271667,93,-33.93,18.42,59.0,3.36
Butaritari,99,KI,1587271879,80,3.07,172.79,83.55,16.55
Hobart,75,AU,1587272067,71,-42.88,147.33,57.0,9.17
George Town,20,MY,1587271939,70,5.41,100.34,91.4,6.93
Bredasdorp,93,ZA,1587272350,51,-34.53,20.04,60.8,6.93
Bethel,1,US,1587272063,92,41.37,-73.41,35.01,6.91
Bitung,40,ID,1587272075,79,1.45,125.18,84.2,3.36
Jinzhou,100,CN,1587272356,40,41.11,121.14,61.83,18.41
Puro,13,PH,1587272357,60,12.48,123.38,87.91,7.72
Rikitea,82,PF,1587272053,69,-23.12,-134.97,77.61,8.99
Iqaluit,5,CA,1587271888,76,63.75,-68.51,-9.0,8.05
York,1,US,1587272181,74,40.13,-77.0,37.99,3.36
Mackay,2,AU,1587271951,62,-21.15,149.2,89.6,12.75
Le Port,75,RE,1587272365,88,-20.94,55.29,75.2,17.22
Asău,94,RO,1587272160,75,46.43,26.4,45.0,3.36
Mossamedes,50,AO,1587271882,69,-15.2,12.15,75.58,7.05
Upernavik,98,GL,1587271842,93,72.79,-56.15,20.17,14.92
Ahipara,100,NZ,1587272085,81,-35.17,173.17,65.05,6.8
Lebu,78,CL,1587272065,90,-37.62,-73.65,53.2,1.45
Chapais,90,CA,1587271933,55,49.78,-74.85,37.4,17.22
Purpe,100,RU,1587272373,59,64.48,76.69,48.99,17.43
Lorengau,10,PG,1587271929,69,-2.02,147.27,84.9,0.4
Saldanha,96,ZA,1587271920,82,-33.01,17.94,59.0,8.05
Narsaq,100,GL,1587271968,68,60.92,-46.05,28.4,3.36
Bolshaya Dzhalga,99,RU,1587272378,65,45.97,42.7,56.19,5.14
Jamestown,1,US,1587272036,64,42.1,-79.24,44.01,8.05
Iracoubo,89,GF,1587272382,86,5.48,-53.2,78.49,8.9
Thompson,5,CA,1587272057,64,55.74,-97.86,-0.4,3.96
Kilindoni,100,TZ,1587272231,82,-7.91,39.67,81.05,18.16
Dudinka,100,RU,1587272134,74,69.41,86.18,37.4,38.03
Esperance,40,AU,1587272089,56,-33.87,121.9,69.8,27.51
Morón,0,AR,1587272078,79,-34.65,-58.62,66.0,10.2
Kaitangata,64,NZ,1587271892,52,-46.28,169.85,55.0,8.99
Port Hedland,18,AU,1587272390,44,-20.32,118.57,96.8,13.87
Green River,1,US,1587272342,35,41.53,-109.47,41.0,12.75
Ribeira Grande,48,PT,1587271983,67,38.52,-28.7,59.56,21.0
Merauke,73,ID,1587272191,67,-8.47,140.33,86.61,10.16
Yellowknife,75,CA,1587271868,86,62.46,-114.35,33.8,17.22
Paseh,88,ID,1587272391,45,-7.1,107.76,84.25,2.15
Khatanga,0,RU,1587271845,96,71.97,102.5,26.51,7.05
Hilo,75,US,1587272061,61,19.73,-155.09,77.0,9.17
Laguna,1,US,1587272401,71,38.42,-121.42,55.99,8.05
North Branch,57,US,1587272403,65,45.51,-92.98,46.0,4.0
Saint Paul Harbor,90,US,1587271971,75,57.79,-152.41,46.4,4.7
São José da Coroa Grande,89,BR,1587271926,80,-8.9,-35.15,78.89,1.83
